 demo                      SWAT+ 2026-05-13        MODULAR Rev 2026.unknown                               
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    corn                                             3358.151    1511.168      33.529       5.295
   366    12    31  2020       1    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       2    corn                                             2600.302    1170.136      25.113       4.160
   366    12    31  2020       2    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       3    corn                                             5961.217    2682.547      59.612       9.394
   366    12    31  2020       3    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       4    corn                                             5979.046    2690.571      59.790       9.422
   366    12    31  2020       4    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       5    corn                                             6396.535    2878.440      63.965      10.138
   366    12    31  2020       5    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       6    corn                                             6428.168    2892.675      64.282      10.165
   366    12    31  2020       6    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       7    corn                                             3330.664    1498.798      33.254       5.251
   366    12    31  2020       7    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       8    corn                                             1784.765     803.144      16.997       2.856
   366    12    31  2020       8    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       9    corn                                             6537.500    2941.876      65.375      10.362
   366    12    31  2020       9    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      10    corn                                             6263.915    2818.762      62.639       9.891
   366    12    31  2020      10    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    corn                                             7113.590    3201.116      71.136      11.302
   366    12    31  2020      11    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    corn                                             6443.488    2899.570      64.435      10.190
   366    12    31  2020      12    soyb                                                0.000       0.000       0.000       0.000
